name,source,logMstar_gal,g_minus_i,has_nsc,colour_class_fig3,host_type_fig3
fig03_0315,NGVS,6.3,0.8599999999999994,False,red_sequence,early
fig03_0316,NGVS,6.9,0.7100000000000009,True,red_sequence,early
fig03_0317,NGVS,5.6,0.6399999999999988,False,red_sequence,early
fig03_0318,NGVS,7.8,0.8200000000000003,True,red_sequence,early
fig03_0319,NGVS,5.9,1.0199999999999996,False,red_sequence,early
fig03_0320,NGVS,6.7,0.7799999999999994,True,red_sequence,early
fig03_0321,NGVS,6.8,0.9199999999999999,False,red_sequence,early
fig03_0322,NGVS,6.9,0.9499999999999993,False,red_sequence,early
fig03_0323,NGVS,5.4,0.6400000000000006,False,red_sequence,early
fig03_0324,NGVS,7.6,0.6999999999999993,True,red_sequence,early
fig03_0325,NGVS,10.5,1.0100000000000016,True,red_sequence,early
fig03_0326,NGVS,9.3,0.9200000000000017,True,red_sequence,early
fig03_0327,NGVS,6.6,0.7099999999999991,False,red_sequence,early
fig03_0328,NGVS,8.1,0.8300000000000001,False,red_sequence,early
fig03_0329,NGVS,6.5,0.6600000000000001,False,red_sequence,early
fig03_0330,NGVS,6.2,0.4900000000000002,False,red_sequence,early
fig03_0331,NGVS,8.5,0.8899999999999988,True,red_sequence,early
fig03_0332,NGVS,7.3,0.6600000000000001,False,red_sequence,early
fig03_0333,NGVS,10.5,1.0399999999999991,False,red_sequence,early
fig03_0334,NGVS,6.7,0.7899999999999991,False,red_sequence,early
fig03_0335,NGVS,6.7,0.8000000000000007,False,red_sequence,early
fig03_0336,NGVS,6.1,0.7699999999999996,False,red_sequence,early
fig03_0337,NGVS,5.6,0.7300000000000004,False,red_sequence,early
fig03_0338,NGVS,9.9,1.1300000000000026,True,red_sequence,early
fig03_0339,NGVS,6.6,0.75,False,red_sequence,early
fig03_0340,NGVS,8.2,0.8200000000000003,False,red_sequence,early
fig03_0341,NGVS,6.4,1.0199999999999996,False,red_sequence,early
fig03_0342,NGVS,7.5,0.8399999999999999,True,red_sequence,early
fig03_0343,NGVS,6.0,0.7399999999999984,True,red_sequence,early
fig03_0344,NGVS,6.7,0.7699999999999996,False,red_sequence,early
fig03_0345,NGVS,6.3,0.7399999999999984,False,red_sequence,early
fig03_0346,NGVS,8.1,0.8300000000000001,True,red_sequence,early
fig03_0347,NGVS,7.0,0.9100000000000001,True,red_sequence,early
fig03_0348,NGVS,5.9,0.5700000000000003,False,red_sequence,early
fig03_0349,NGVS,9.1,1.0199999999999996,True,red_sequence,early
fig03_0350,NGVS,7.0,0.40000000000000036,False,blue_cloud,late
fig03_0351,NGVS,6.9,0.6600000000000001,True,red_sequence,early
fig03_0352,NGVS,6.7,0.7799999999999994,True,red_sequence,early
fig03_0353,NGVS,5.5,0.46999999999999886,False,red_sequence,early
fig03_0354,NGVS,6.9,0.7200000000000006,False,red_sequence,early
fig03_0355,NGVS,5.3,0.5800000000000001,False,red_sequence,early
fig03_0356,NGVS,9.4,0.7899999999999991,True,blue_cloud,late
fig03_0357,NGVS,6.1,1.3000000000000007,False,red_sequence,early
fig03_0358,NGVS,8.1,0.8399999999999999,True,red_sequence,early
fig03_0359,NGVS,5.5,1.4399999999999995,False,red_sequence,early
fig03_0360,NGVS,6.1,0.629999999999999,False,red_sequence,early
fig03_0361,NGVS,5.7,0.7200000000000006,False,red_sequence,early
fig03_0362,NGVS,7.1,1.08,True,red_sequence,early
fig03_0363,NGVS,7.3,0.7099999999999991,False,red_sequence,early
fig03_0364,NGVS,8.3,0.7800000000000011,True,red_sequence,early
fig03_0365,NGVS,6.9,0.75,True,red_sequence,early
fig03_0366,NGVS,5.5,0.6899999999999995,False,red_sequence,early
fig03_0367,NGVS,8.6,0.7699999999999996,True,red_sequence,early
